gl_line_id,gl_header_id,line_number,line_type,account_code,account_combination_id,entered_dr,entered_cr,accounted_dr,accounted_cr,currency_code,currency_conversion_rate,cost_center_code,department_code,project_code,product_code,location_code,line_description,reference_1,reference_2,reference_3,reference_4,reference_5,balancing_segment_value,tax_code,tax_amount,statistical_amount,quantity,unit_of_measure,status,created_by,creation_date,last_updated_by,last_update_date
10011,1005,3,LIABILITY,22000,1009,,10000.00,,10000.00,USD,1.0,CC003,HR,,,LOC001,Payroll liability,PR-001,,,,,HR,,0.00,,,HOURS,POSTED,SYSTEM,2024-01-31 23:59:00,SYSTEM,2024-01-31 23:59:00
10012,1006,1,EXPENSE,65000,1010,3000.00,,3000.00,,USD,1.0,CC004,FINANCE,,,LOC001,Depreciation expense,DEP-001,,,,,FINANCE,,0.00,,,MONTHS,POSTED,SYSTEM,2024-01-31 23:59:00,SYSTEM,2024-01-31 23:59:00
10013,1006,2,ASSET,15000,1011,,3000.00,,3000.00,USD,1.0,CC004,FINANCE,,,LOC001,Accumulated depreciation,DEP-001,,,,,FINANCE,,0.00,,,MONTHS,POSTED,SYSTEM,2024-01-31 23:59:00,SYSTEM,2024-01-31 23:59:00
10014,1007,1,EXPENSE,71000,1012,5000.00,,4600.00,,EUR,0.92,CC002,MARKETING,PROJ003,PROD003,LOC002,Marketing services,INV-002,VENDOR-002,PO-002,,,MARKETING,VAT,460.00,,,SERVICES,POSTED,SYSTEM,2024-02-05 11:20:00,SYSTEM,2024-02-05 11:20:00
10015,1007,2,LIABILITY,21000,1003,,5460.00,,5060.00,EUR,0.92,CC002,MARKETING,PROJ003,PROD003,LOC002,AP - Marketing vendor,INV-002,VENDOR-002,PO-002,,,MARKETING,VAT,460.00,,,SERVICES,POSTED,SYSTEM,2024-02-05 11:20:00,SYSTEM,2024-02-05 11:20:00
10016,1008,1,ASSET,12000,1005,25000.00,,25000.00,,USD,1.0,CC002,SALES,PROJ004,PROD004,LOC001,AR - Hardware sale,INV-S002,CUST-002,SO-002,,,SALES,,0.00,,,UNITS,POSTED,SYSTEM,2024-02-10 13:30:00,SYSTEM,2024-02-10 13:30:00
10017,1008,2,REVENUE,41000,1013,,25000.00,,25000.00,USD,1.0,CC002,SALES,PROJ004,PROD004,LOC001,Hardware revenue,INV-S002,CUST-002,SO-002,,,SALES,,0.00,,,UNITS,POSTED,SYSTEM,2024-02-10 13:30:00,SYSTEM,2024-02-10 13:30:00
10018,1009,1,EXPENSE,63000,1014,1200.00,,1200.00,,USD,1.0,CC004,FINANCE,,,LOC001,Interest expense accrual,ACC-001,,,,,FINANCE,,0.00,,,MONTHS,POSTED,SYSTEM,2024-02-15 17:45:00,SYSTEM,2024-02-15 17:45:00
10019,1009,2,LIABILITY,23000,1015,,1200.00,,1200.00,USD,1.0,CC004,FINANCE,,,LOC001,Accrued interest payable,ACC-001,,,,,FINANCE,,0.00,,,MONTHS,POSTED,SYSTEM,2024-02-15 17:45:00,SYSTEM,2024-02-15 17:45:00
10020,1010,1,LIABILITY,23000,1015,1200.00,,1200.00,,USD,1.0,CC004,FINANCE,,,LOC001,Reverse accrued interest,REV-001,,,,,FINANCE,,0.00,,,MONTHS,POSTED,SYSTEM,2024-02-20 08:15:00,SYSTEM,2024-02-20 08:15:00
10021,1010,2,EXPENSE,63000,1014,,1200.00,,1200.00,USD,1.0,CC004,FINANCE,,,LOC001,Reverse interest expense,REV-001,,,,,FINANCE,,0.00,,,MONTHS,POSTED,SYSTEM,2024-02-20 08:15:00,SYSTEM,2024-02-20 08:15:00
10022,1011,1,EXPENSE,72000,1016,7500.00,,7500.00,,USD,1.0,CC004,FINANCE,PROJ005,,LOC001,Legal services expense,INV-003,VENDOR-003,PO-003,,,FINANCE,,0.00,,,HOURS,POSTED,SYSTEM,2024-03-01 10:00:00,SYSTEM,2024-03-01 10:00:00
10023,1011,2,LIABILITY,21000,1003,,7500.00,,7500.00,USD,1.0,CC004,FINANCE,PROJ005,,LOC001,AP - Legal services,INV-003,VENDOR-003,PO-003,,,FINANCE,,0.00,,,HOURS,POSTED,SYSTEM,2024-03-01 10:00:00,SYSTEM,2024-03-01 10:00:00
10024,1012,1,ASSET,12000,1005,50000.00,,50000.00,,USD,1.0,CC002,SALES,PROJ006,PROD005,LOC001,AR - Subscription renewal,INV-S003,CUST-003,SO-003,,,SALES,,0.00,,,SUBSCRIPTION,POSTED,SYSTEM,2024-03-05 14:30:00,SYSTEM,2024-03-05 14:30:00
10025,1012,2,REVENUE,42000,1017,,50000.00,,50000.00,USD,1.0,CC002,SALES,PROJ006,PROD005,LOC001,Subscription revenue,INV-S003,CUST-003,SO-003,,,SALES,,0.00,,,SUBSCRIPTION,POSTED,SYSTEM,2024-03-05 14:30:00,SYSTEM,2024-03-05 14:30:00
10026,1013,1,ASSET,12000,1005,75000.00,,75000.00,,USD,1.0,CC002,SALES,PROJ007,PROD006,LOC001,AR - Year-end sale,INV-S004,CUST-004,SO-004,,,SALES,,0.00,,,LICENSE,POSTED,SYSTEM,2023-12-15 16:45:00,SYSTEM,2023-12-15 16:45:00
10027,1013,2,REVENUE,40000,1006,,75000.00,,75000.00,USD,1.0,CC002,SALES,PROJ007,PROD006,LOC001,Software license revenue,INV-S004,CUST-004,SO-004,,,SALES,,0.00,,,LICENSE,POSTED,SYSTEM,2023-12-15 16:45:00,SYSTEM,2023-12-15 16:45:00
10028,1014,1,EXPENSE,60100,1007,9000.00,,9000.00,,USD,1.0,CC003,HR,,,LOC001,December salary,PR-012,,,,,HR,,0.00,,,HOURS,POSTED,SYSTEM,2023-12-31 23:59:00,SYSTEM,2023-12-31 23:59:00
10029,1014,2,EXPENSE,60200,1008,2200.00,,2200.00,,USD,1.0,CC003,HR,,,LOC001,December benefits,PR-012,,,,,HR,,0.00,,,HOURS,POSTED,SYSTEM,2023-12-31 23:59:00,SYSTEM,2023-12-31 23:59:00
10030,1014,3,LIABILITY,22000,1009,,11200.00,,11200.00,USD,1.0,CC003,HR,,,LOC001,December payroll liability,PR-012,,,,,HR,,0.00,,,HOURS,POSTED,SYSTEM,2023-12-31 23:59:00,SYSTEM,2023-12-31 23:59:00
10031,1015,1,ASSET,14000,1018,2500.00,,2500.00,,USD,1.0,CC005,OPERATIONS,,,LOC001,Inventory adjustment,ADJ-001,,,,,OPERATIONS,,0.00,25,UNITS,POSTED,SYSTEM,2024-03-15 12:00:00,SYSTEM,2024-03-15 12:00:00
10032,1015,2,EXPENSE,50000,1019,,2500.00,,2500.00,USD,1.0,CC005,OPERATIONS,,,LOC001,Cost of goods sold,ADJ-001,,,,,OPERATIONS,,0.00,25,UNITS,POSTED,SYSTEM,2024-03-15 12:00:00,SYSTEM,2024-03-15 12:00:00 
